,offen,titel,totallifte,zeit_scraping,zeit_siteaktualisiert
0,0,Andermatt - Oberalp - Sedrun,22,2018-11-08_14-00,"08.11.2018, 09:46"
1,0,Arosa Lenzerheide,43,2018-11-08_14-00,"29.10.2018, 10:25"
2,0,Corvatsch - Furtschellas,14,2018-11-08_14-00,"07.11.2018, 13:33"
3,0,Davos Jakobshorn,10,2018-11-08_14-00,"08.11.2018, 05:00"
4,0,Davos Klosters Parsenn,18,2018-11-08_14-00,"08.11.2018, 05:00"
5,0,Flims Laax Falera,28,2018-11-08_14-00,"07.11.2018, 16:53"
6,0,Samnaun,45,2018-11-08_14-00,"08.11.2018, 13:12"
7,0,Scuol Motta Naluns,13,2018-11-08_14-00,"07.11.2018, 18:05"
8,0,St. Moritz - Corviglia,23,2018-11-08_14-00,"31.10.2018, 13:33"
9,0,Anzère,12,2018-11-08_14-00,"08.11.2018, 04:03"
10,0,Champéry / Portes du Soleil,197,2018-11-08_14-00,"08.11.2018, 04:03"
11,0,Grächen,9,2018-11-08_14-00,"08.11.2018, 04:02"
12,0,Grimentz - Zinal,21,2018-11-08_14-00,"08.11.2018, 04:01"
13,0,Morgins / Portes du Soleil,197,2018-11-08_14-00,"28.10.2018, 04:04"
14,0,Nendaz / 4 Vallées,82,2018-11-08_14-00,"08.11.2018, 04:03"
15,3,Saas-Fee,22,2018-11-08_14-00,"08.11.2018, 07:59"
16,0,St-Luc / Chandolin,15,2018-11-08_14-00,"08.11.2018, 04:03"
17,0,Thyon / 4 Vallées,82,2018-11-08_14-00,"08.11.2018, 05:45"
18,0,Veysonnaz / 4 Vallées,82,2018-11-08_14-00,"08.11.2018, 05:45"
19,19,Zermatt,52,2018-11-08_14-00,"08.11.2018, 08:02"
20,11,Jungfrau Ski Region Mürren - Schilthorn,15,2018-11-08_14-00,"08.11.2018, 05:41"
21,0,Andermatt - Gemsstock,22,2018-11-08_14-00,"08.11.2018, 09:46"
22,6,Engelberg Titlis,28,2018-11-08_14-00,"08.11.2018, 07:07"
23,0,Hoch-Ybrig,12,2018-11-08_14-00,"08.11.2018, 04:02"
24,0,Klewenalp - Stockhütte,13,2018-11-08_14-00,"08.11.2018, 08:23"
25,0,Melchsee - Frutt,14,2018-11-08_14-00,"08.11.2018, 04:03"
26,3,Mythenregion,15,2018-11-08_14-00,"03.11.2018, 11:30"
27,0,Sörenberg,16,2018-11-08_14-00,"08.11.2018, 09:14"
28,0,Flumserberg,17,2018-11-08_14-00,"08.11.2018, 04:01"
29,0,Toggenburg,17,2018-11-08_14-00,"08.11.2018, 05:45"
30,0,Leysin - Les Mosses - La Lécherette,14,2018-11-08_14-00,"08.11.2018, 04:01"
